stock_locate,tracking_number,timestamp,shares,cross_price,match_number,cross_type
3672,2,0 days 09:30:00.000995068,6185,404300,53497,0
6425,1,0 days 09:30:00.001157163,0,0,53502,0
7062,1,0 days 09:30:00.001959593,2432,168600,53563,0
8360,1,0 days 09:30:00.002076275,0,0,53567,0
2290,2,0 days 09:30:00.002518918,100,106000,53602,0
8708,1,0 days 09:30:00.003298974,0,0,53617,0
6654,1,0 days 09:30:00.003474549,420,72000,53618,0
3550,3,0 days 09:30:00.004172865,9655,9100,53631,0
3098,2,0 days 09:30:00.004881254,313,663500,53669,0
5071,1,0 days 09:30:00.004969725,0,0,53672,0
1500,1,0 days 09:30:00.005808476,0,0,53691,0
4369,1,0 days 09:30:00.006517649,0,0,53694,0
8124,1,0 days 09:30:00.007090486,0,0,53696,0
6791,1,0 days 09:30:00.007323613,0,0,53697,0
7662,1,0 days 09:30:00.008143582,0,0,53699,0
2123,1,0 days 09:30:00.008874732,0,0,53702,0
1958,1,0 days 09:30:00.009151990,0,0,53706,0
7320,1,0 days 09:30:00.009389522,2316,175500,53708,0
4462,5,0 days 09:30:00.009821572,400,536200,53726,0
8319,1,0 days 09:30:00.010334869,0,0,53734,0
3547,1,0 days 09:30:00.010898813,0,0,53738,0
6494,1,0 days 09:30:00.010939850,0,0,53739,0
6019,1,0 days 09:30:00.011536956,44,182900,53740,0
3045,1,0 days 09:30:00.012146487,0,0,53743,0
4440,1,0 days 09:30:00.012952370,0,0,53749,0
5575,1,0 days 09:30:00.013088013,4849,134300,53750,0
8367,1,0 days 09:30:00.013926865,0,0,53753,0
8034,1,0 days 09:30:00.014857666,0,0,53787,0
3149,1,0 days 09:30:00.015626568,0,0,53819,0
7707,1,0 days 09:30:00.016393577,0,0,53822,0
393,2,0 days 09:30:00.021670510,38093,18740000,53830,0
330,2,0 days 09:30:00.021847743,2048,125400,53832,0
4210,1,0 days 09:30:00.026537110,0,0,53877,0
2565,1,0 days 09:30:00.030107099,316,168800,53914,0
8673,1,0 days 09:30:00.031513010,0,0,53920,0
2479,1,0 days 09:30:00.032114995,0,0,53921,0
815,1,0 days 09:30:00.032480411,0,0,53922,0
1304,1,0 days 09:30:00.036180598,3407,185800,53958,0
6834,3,0 days 09:30:00.058556378,5136,571200,57384,0
1254,1,0 days 09:30:00.058910464,0,0,57402,0
6364,1,0 days 09:30:00.059333339,161,593300,57407,0
3852,1,0 days 09:30:00.059472690,0,0,57410,0
7606,1,0 days 09:30:00.060268908,0,0,57467,0
6148,1,0 days 09:30:00.060439806,0,0,57469,0
2677,1,0 days 09:30:00.061888926,10242,941000,57531,0
3664,1,0 days 09:30:00.061956044,0,0,57532,0
3835,1,0 days 09:30:00.062983230,0,0,57558,0
3759,1,0 days 09:30:00.063134395,1000,283300,57570,0
8510,1,0 days 09:30:00.063958040,0,0,57591,0
7078,1,0 days 09:30:00.064217372,0,0,57604,0
5852,2,0 days 09:30:00.065030784,5721,18500,57626,0
8545,1,0 days 09:30:00.065760522,0,0,57642,0
